Name,Abbreviation,TaxRate,Federal Tax between 82k to 157k,Social Security,Medicare,Total Tax,Total tax for 100K USD,Take Home for 100K USD
Alabama,al,3.67,24,6.2,1.45,35.32,35320,64680
Alaska,ak,0,24,6.2,1.45,31.65,31650,68350
Arizona,az,3.52,24,6.2,1.45,35.17,35170,64830
Arkansas,ar,4.05,24,6.2,1.45,35.7,35700,64300
California,ca,7.75,24,6.2,1.45,39.4,39400,60600
Colorado,co,4.63,24,6.2,1.45,36.28,36280,63720
Connecticut,ct,5.7,24,6.2,1.45,37.35,37350,62650
Delaware,de,4.71,24,6.2,1.45,36.36,36360,63640
District of Columbia,dc,7.12,24,6.2,1.45,38.77,38770,61230
Florida,fl,0,24,6.2,1.45,31.65,31650,68350
Georgia,ga,3.5,24,6.2,1.45,35.15,35150,64850
Hawaii,hi,6.03,24,6.2,1.45,37.68,37680,62320
Idaho,id,5,24,6.2,1.45,36.65,36650,63350
Illinois,il,3.75,24,6.2,1.45,35.4,35400,64600
Indiana,in,3.3,24,6.2,1.45,34.95,34950,65050
Iowa,ia,4.92,24,6.2,1.45,36.57,36570,63430
Kansas,ks,4.33,24,6.2,1.45,35.98,35980,64020
Kentucky,ky,4.3,24,6.2,1.45,35.95,35950,64050
Louisiana,la,2.02,24,6.2,1.45,33.67,33670,66330
Maine,me,6.57,24,6.2,1.45,38.22,38220,61780
Maryland,md,4.41,24,6.2,1.45,36.06,36060,63940
Massachusetts,ma,5.1,24,6.2,1.45,36.75,36750,63250
Michigan,mi,4.25,24,6.2,1.45,35.9,35900,64100
Minnesota,mn,7.53,24,6.2,1.45,39.18,39180,60820
Mississippi,ms,4,24,6.2,1.45,35.65,35650,64350
Missouri,mo,3.75,24,6.2,1.45,35.4,35400,64600
Montana,mt,3.99,24,6.2,1.45,35.64,35640,64360
Nebraska,ne,4.46,24,6.2,1.45,36.11,36110,63890
Nevada,nv,0,24,6.2,1.45,31.65,31650,68350
New Hampshire,nh,5,24,6.2,1.45,36.65,36650,63350
New Jersey,nj,4.42,24,6.2,1.45,36.07,36070,63930
New Mexico,nm,3.63,24,6.2,1.45,35.28,35280,64720
New York,ny,6.05,24,6.2,1.45,37.7,37700,62300
North Carolina,nc,5.75,24,6.2,1.45,37.4,37400,62600
North Dakota,nd,2.19,24,6.2,1.45,33.84,33840,66160
Ohio,oh,2.88,24,6.2,1.45,34.53,34530,65470
Oklahoma,ok,2.58,24,6.2,1.45,34.23,34230,65770
Oregon,or,7.73,24,6.2,1.45,39.38,39380,60620
Pennsylvania,pa,3.07,24,6.2,1.45,34.72,34720,65280
Rhode Island,ri,4.83,24,6.2,1.45,36.48,36480,63520
South Carolina,sc,4.17,24,6.2,1.45,35.82,35820,64180
South Dakota,sd,0,24,6.2,1.45,31.65,31650,68350
Tennessee,tn,5,24,6.2,1.45,36.65,36650,63350
Texas,tx,0,24,6.2,1.45,31.65,31650,68350
Utah,ut,5,24,6.2,1.45,36.65,36650,63350
Vermont,vt,7.18,24,6.2,1.45,38.83,38830,61170
Virginia,va,3.94,24,6.2,1.45,35.59,35590,64410
Washington,wa,0,24,6.2,1.45,31.65,31650,68350
West Virginia,wv,4.8,24,6.2,1.45,36.45,36450,63550
Wisconsin,wi,5.94,24,6.2,1.45,37.59,37590,62410
Wyoming,wy,0,24,6.2,1.45,31.65,31650,68350
