Name,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Alabama,4830620,2341093,2489527,3.751615646,61.87865646,31.25297619,0.453231293,1.050255102,0.034353741,43296.3586,22840.09702,21.28212766,30.29191489,18.2866383,23.81276596,10.2293617,17.38051064,1712.383573,78.27446809,16.26408511,5.260085106,0.200595745,10.6867234
Alaska,733375,384160,349215,5.909580838,60.91017964,2.848502994,16.39101796,5.450299401,1.058682635,70354.7439,33003.22892,11.33892216,34.91325301,17.95421687,21.99096386,13.47048193,11.66325301,2102.443114,65.08072289,27.58614458,7.121686747,0.209638554,9.268072289
Arizona,6641928,3299088,3342840,29.56592105,57.12,3.850986842,4.355065789,2.876578947,0.167631579,54207.82095,26363.11389,18.63186016,33.81148515,20.44244224,26.05683168,9.813069307,9.87709571,1843.647444,78.24475248,15.36481848,6.225148515,0.165940594,9.46990099
Arkansas,2958208,1451913,1506295,6.215474453,71.13781022,18.96875912,0.522919708,1.142335766,0.146861314,41935.63397,22126.81606,20.57576642,29.94321168,17.98569343,23.38408759,11.15489051,17.53124088,1831.021866,76.17620438,17.08072993,6.535620438,0.206423358,8.529489051
California,38421464,19087135,19334329,37.29187469,40.21578882,5.677396405,0.405292062,13.05223415,0.351410384,67264.7823,31154.5956,16.55041943,36.16461384,19.19217674,23.65612717,9.58290149,11.4034172,2140.543627,77.24590061,13.97892102,8.592965327,0.182876455,10.1912902
Colorado,5278906,2648667,2630239,20.78438003,69.89557166,3.546376812,0.573832528,2.661996779,0.119645733,64657.80179,32248.10628,13.26825911,39.3539644,18.0065534,23.65954693,9.867556634,9.109789644,2101.229784,78.64352751,14.40833333,6.76092233,0.189239482,7.194093851
Connecticut,3593222,1751607,1841615,15.60483092,67.67705314,10.34806763,0.126207729,4.021980676,0.018599034,76146.56059,38528.91546,11.75574365,40.70483676,18.41886336,23.49854897,7.287061669,10.0885127,2138.555822,80.54836759,12.99709794,6.276299879,0.180652963,9.38210399
Delaware,926454,448413,478041,8.824766355,64.63271028,20.74392523,0.259813084,3.268691589,0.019158879,61827.97664,31446.65421,12.82990654,37.67009346,19.22570093,24.31214953,8.321028037,10.47803738,1989.981651,81.1228972,14.5,4.237383178,0.137383178,7.952336449
District of Columbia,647484,306674,340810,9.165921788,33.10391061,51.77653631,0.200558659,3.383240223,0.029608939,75466.36364,46214.96648,19.30446927,55.1452514,17.89664804,19.02290503,3.234078212,4.708379888,1887.234637,69.90167598,25.82849162,4.159217877,0.109497207,11.62458101
Florida,19645772,9600009,10045763,21.33854267,59.0837488,15.16567593,0.210450623,2.283173538,0.051510067,50690.19499,28149.09073,17.18840614,33.54603937,20.79572732,27.15734518,9.296615458,9.20456073,2012.082686,80.92640422,12.57887662,6.328852616,0.167642823,10.02140629
